,train,val,test
0,2460399-B2,25025102B2,2461672-B2
1,2460404-B3,25013062B3,25014318B
2,2460405-B2,2466891-B2,25025602B2
3,2460591-B2,2469505-B2,2477541-B2
4,2460602-B,25009747B,2473738-B3
5,2460641-B2,2465827-B5,2464879-B2
6,2460770-B2,2490964B2,2474718-B4
7,2460949-B3,2482056-B9,2460643-B
8,2460960-B,2486104-B2,2473218-B3
9,2460974-B2,2490972B8,25021291B2
10,2461002-B2,25002496B2,2477039-B
11,2461487-B2,25015070B2,2483768-B4
12,2461698-B,2461703-B3,2468419-B3
13,2461700-B2,2490978B2,25021622B4
14,2461718-B3,25022278B2,2471921-B2
15,2461836-B2,2477814-B5,2484463-B2
16,2461857-B2,2470270-B2,2464438-B5
17,2462123-B2,2482962-B2,2487143-B
18,2462290-B2,2487935-B2,2476834-B3
19,2462293-B3,2486859-B2,2469024-B
20,2462478-B2,25024142B2,2464943-B2
21,2462483-B,2477058-B2,25015064B
22,2462598-B,2477977-B3,2474500-B2
23,2462637-B2,25024878B3,25017211B2
24,2462830-B2,2469033-B2,2473228-B2
25,2462840-B5,2486687-B3,2465625-B
26,2462885-B2,2488916-B2,2489137-B4
27,2462920-B3,2484220-B3,25023590B4
28,2463126-B2,2468673-B2,2468321-B2
29,2463135-B,2484771-B3,25015234B2
30,2463187-B2,2486104-B1,2475126-B2
31,2463379-B4,2474631-B3,2482607-B
32,2463643-B,2475022-B,25017589B6
33,2463647-B2,2469023-B2,2476358-B2
34,2463656-B2,25021893B2,25020291B2
35,2464404-B5,2462830-B4,2471884-B2
36,2464443-B,2468105-B2,2490547B2
37,2464690-B2,2477577-B3,25022262B2
38,2464812-B3,25017539B2,2469693-B
39,2464817-B,25015495B4,2477299-B2
40,2465202-B3,25025567B3,2466580-B5
41,2465263-B2,25024431B,2473212-B4
42,2465367-B3,2474612-B2,2463370-B2
43,2465568-B2,2473623-B2,2469260-B3
44,2465636-B,25025297B,2465396-B2
45,2465639-B2,2465397-B,2471442-B3
46,2465643-B3,25017218B3,2487246-B2
47,2465661-B2,25002391B2,25019283B2
48,2465795-B4,25009367B2,2490526B3
49,2466285-B,25017518B2,2490820B2
50,2466581-B2,2486197-B2,2487140-B2
51,2466703-B4,2476250-B2,2482992-B
52,2466866-B,25019376B2,2491131B2
53,2466881-B2,25013162B2,2481696-B4
54,2466884-B2,25002898B2,25017355B1
55,2466893-B2,2468419-B2,2482947-B2
56,2466898-B2,2474291-B2,25002804B2
57,2466923-B2,25009124B2,2460628-B2
58,2468325-B,2466899-B2,25015625B2
59,2468417-B2,2462170-B4,2466718-B
60,2468442-B2,25014226B2,2473366-B2
61,2468450-B2,25027122B2,2472453-B2
62,2468720-B2,2486833-B2,2474704-B2
63,2468796-B3,25022330B2,25015811B3
64,2468954-B2,25023016B6,2465339-B2
65,2469004-B2,2491191B2,2462921-B
66,2469005-B2,25002801B1,25016926B2
67,2469007-B2,25021197B2,2460753-B2
68,2469019-B2,2461755-B3,25025083B2
69,2469023-B4,2461861-B2,25017748B2
70,2469029-B2,2469965-B2,25021481B2
71,2469072-B2,25023977B2,2473600-B3
72,2469074-B2,25019508B4,2486653-B2
73,2469110-B3,2464929-B,2464548-B
74,2469230-B,2460239-B2,25019107B
75,2469256-B2,2488769-B2,25025251B
76,2469496-B,2472465-B2,2462614-B3
77,2469569-B2,25024855B3,2488344-B2
78,2469661-B,2482056-B4,2487664-B2
