,train,val,test
0,2460242-B2,2482964-B2,25025102B2
1,2460591-B2,2474124-B2,25024709B2
2,2460628-B2,2465263-B2,2463643-B
3,2460641-B2,2465989-B2,2474704-B2
4,2460643-B,25022038B2,2485517-B2
5,2460753-B2,2465568-B2,25019776B2
6,2460770-B2,2476252-B2,25019102B4
7,2460974-B2,2472316-B7,2468321-B2
8,2461002-B2,2465636-B,25024732B2
9,2461487-B2,2476250-B2,2488330-B2
10,2461671-B2,2460239-B2,2477670-B2
11,2461672-B2,25015101B2,25025953B2
12,2461677-B2,25025567B3,25020717B2
13,2461703-B3,2461755-B3,2486197-B2
14,2461718-B3,2488475-B2,25021291B2
15,2461836-B2,2483363-B3,25012919B9
16,2461861-B2,2477189-B3,25019384B2
17,2462123-B2,2482992-B,25017372B2
18,2462170-B4,2466898-B2,2477299-B2
19,2462290-B2,25024855B3,2485275-B2
20,2462483-B,25014217B2,2473366-B2
21,2462614-B3,2468698-B2,25014684B
22,2462830-B2,25027122B2,25015495B3
23,2462920-B3,2489137-B4,2471452-B2
24,2462921-B,25015863B2,2475126-B2
25,2462987-B2,2488932-B4,2475349-B2
26,2463127-B3,2466580-B5,2485328-B2
27,2463135-B,2469005-B2,2466159-B2
28,2463187-B2,25022343B3,25017716B2
29,2463370-B2,25019081B3,25017748B2
30,2463379-B4,2466899-B2,2490844B1
31,2463404-B2,2462598-B,25018584B
32,2464438-B5,2462885-B2,2477668-B3
33,2464548-B,2482461-B2,2469047-B2
34,2464690-B2,2469916-B2,25018571B2
35,2464812-B3,2470270-B2,2488065-B3
36,2464817-B,2486859-B2,2475022-B
37,2465202-B3,25017089B2,25023690B3
38,2465243-B2,2476984-B2,25027135B3
39,2465339-B2,2482607-B,25009529B2
40,2465367-B3,2460602-B,2488044-B3
41,2465396-B2,2461700-B2,25017338B3
42,2465397-B,2474188-B2,2464929-B
43,2465625-B,2490547B2,25020263B2
44,2465639-B2,2474718-B4,2483768-B4
45,2465661-B2,25012628B2,25012170B5
46,2465795-B4,25018592B,2466264-B2
47,2465827-B5,25012485B2,25023814B
48,2465843-B2,2464879-B2,2482969-B
49,2466285-B,25015064B,25017227B2
50,2466581-B1,2485259-B6,2487664-B2
51,2466581-B2,25026669B2,25020573B3
52,2466584-B,25019790B2,25019457B2
53,2466703-B4,2485969-B2,2477118-B4
54,2466718-B,25019716B2,25025083B2
55,2466866-B,2463126-B2,2460949-B3
56,2466891-B2,25023869B4,2469963-B2
57,2466893-B2,25021668B2,2473266-B
58,2468105-B2,25017354B5,2484727-B2
59,2468325-B,2478091-B4,2471072-B2
60,2468417-B2,25022019B2,2463647-B2
61,2468419-B2,2469693-B,2490964B2
62,2468442-B2,2474739-B2,25015070B2
63,2468450-B2,2486100-B,2488039-B2
64,2468673-B2,2474631-B3,2473218-B3
65,2468796-B3,2460405-B2,2460404-B3
66,2468954-B2,2476681-B2,2484883-B2
67,2469004-B2,2484771-B3,2465643-B3
68,2469007-B2,2473272-B3,2476242-B2
69,2469023-B2,25025575B2,2487651-B
70,2469023-B4,2486104-B2,25002073B3
71,2469072-B2,2463351-B4,25023934B2
72,2469074-B2,25012148B4,2469033-B2
73,2469230-B,25015425B2,2464943-B2
74,2469256-B2,25015422B,25001929B3
75,2469515-B2,25002391B2,2471887-B
76,2469569-B2,2486845-B2,25013062B3
77,2469661-B,2477118-B3,2475159-B
78,2469849-B2,2461857-B2,25020714B2
79,2469927-B2,2468720-B2,2462637-B2
80,2469965-B2,25015408B3,25018002B2
81,2469969-B2,2460960-B,25024142B2
