,train,val,test
0,2460399-B2,2461672-B2,25026103B3
1,2460404-B3,25019806B2,2488065-B3
2,2460405-B2,25009294B2,25018571B2
3,2460591-B2,25002788B2,25013189B3
4,2460602-B,2474704-B2,2482952-B2
5,2460643-B,25018453B2,25002388B2
6,2460960-B,2475349-B2,2462290-B2
7,2460974-B2,2460753-B2,25021120B4
8,2461677-B2,25023690B3,25025506B
9,2461718-B3,25014124B2,2473545-B3
10,2461857-B2,2462637-B2,25015811B3
11,2461861-B2,25009539B3,25002329B2
12,2462123-B2,25013062B3,2483862-B2
13,2462170-B4,2463126-B2,2474612-B2
14,2462293-B3,25025675B2,25017089B2
15,2462478-B2,2463187-B2,2461703-B3
16,2462483-B,2474140-B3,25001965B2
17,2462598-B,2482962-B2,25014268B
18,2462830-B2,2483215-B5,2476252-B2
19,2462840-B5,2466893-B2,2464690-B2
20,2462920-B3,25016926B2,2469661-B
21,2462921-B,2490844B1,25018457B2
22,2462987-B2,2488344-B2,2463656-B2
23,2463127-B3,25024243B2,25015190B2
24,2463135-B,25009124B2,2486653-B2
25,2463379-B4,2472509-B6,25002663B5
26,2463404-B2,25017515B2,25023934B2
27,2463647-B2,25003038B2,2483014-B4
28,2464404-B5,2476681-B2,2483055-B2
29,2464438-B5,2464879-B2,25017338B3
30,2464443-B,25015103B2,25014318B
31,2464817-B,2489182-B2,2489331-B2
32,2464929-B,25017738B2,25019716B2
33,2464943-B2,2484220-B3,25021538B2
34,2465202-B3,25012919B8,2487651-B
35,2465243-B2,25012175B4,2486812-B2
36,2465263-B2,25002366B6,2463370-B2
37,2465367-B3,2485328-B2,25017518B2
38,2465396-B2,2474718-B4,2469256-B2
39,2465397-B,25016915B2,25002801B1
40,2465568-B2,2487941-B2,2477053-B3
41,2465608-B2,25025788B2,25023869B4
42,2465625-B,25002472B2,2476376-B2
43,2465636-B,2473266-B,2469693-B
44,2465639-B2,2466881-B2,2482607-B
45,2465643-B3,25014684B,2483768-B4
46,2465661-B2,25017354B5,25002328B2
47,2465989-B2,2466285-B,2464548-B
48,2466152-B2,25002898B2,2484791-B3
49,2466159-B2,25015495B4,25017322B2
50,2466264-B2,25025297B,25017718B2
51,2466580-B5,25015425B2,25021911B2
52,2466581-B1,25024878B3,2473600-B3
53,2466581-B2,2485318-B2,25012170B4
54,2466584-B,25024983B2,25018910B2
55,2466718-B,2471237-B2,2473228-B2
56,2466866-B,25026075B2,25017716B2
57,2466884-B2,2477476-B2,2484727-B2
58,2466891-B2,2464812-B3,2474626-B2
59,2466898-B2,2469965-B2,2476250-B2
60,2466899-B2,2460239-B2,2461755-B3
61,2466923-B2,2465339-B2,25015204B2
62,2468321-B2,2472316-B7,2461002-B2
63,2468419-B2,2468796-B3,2490972B8
64,2468419-B3,2463720-B7,2474189-B7
65,2468673-B2,2474337-B3,2469019-B2
66,2468698-B2,2460641-B2,2472465-B2
67,2469004-B2,2486833-B2,2473608-B2
68,2469005-B2,2461671-B2,2485259-B6
69,2469007-B2,2460949-B3,2471921-B2
70,2469023-B2,25025240B,2486104-B2
71,2469023-B4,25026180B2,25021622B4
72,2469024-B,25022406B2,2486813-B2
73,2469029-B2,2472471-B2,2486262-B4
74,2469033-B2,2470647-B2,25026291B2
75,2469047-B2,2483211-B2,2469110-B3
76,2469072-B2,2474638-B3,2485303-B2
77,2469074-B2,2468325-B,25025102B2
78,2469230-B,25009367B2,25018592B
79,2469260-B3,2461700-B2,2486165-B2
80,2469496-B,25024302B4,25021658B3
81,2469505-B2,25021901B2,25002504B2
82,2469515-B2,25001939B2,25024732B2
83,2469569-B2,2476834-B3,25012148B4
84,2469916-B2,2478091-B4,2482483-B2
85,2469927-B2,25021918B4,2490963B2
86,2469969-B2,2462614-B3,2472509-B4
87,2470270-B2,2461836-B2,2463643-B
88,2470405-B2,2465795-B4,2491560B2
89,2470657-B3,2484734-B5,2476856-B2
90,2471072-B2,2477941-B2,2477189-B2
91,2471442-B3,2485517-B2,2468105-B2
92,2471452-B2,2461487-B2,2472453-B2
93,2471618-B3,25015087B2,25017073B2
94,2471884-B2,2470260-B,2475184-B2
95,2471957-B,25016785B2,2468450-B2
96,2471959-B2,2462830-B4,2469849-B2
97,2471963-B,25016088B2,2460242-B2
98,2472481-B2,2473545-B2,2471887-B
99,2472500-B2,25024855B3,2462885-B2
100,2473212-B4,2481703-B2,25017341B4
101,2473218-B2,2489203-B,2482957-B2
102,2473218-B3,2469963-B2,2484209-B2
103,2473272-B3,2484633-B2,25013023B2
104,2473366-B2,25021554B2,25019102B4
105,2473394-B2,2477668-B3,2468954-B2
106,2473534-B2,25012170B5,25021474B
107,2473549-B,2483961-B3,2460770-B2
108,2473621-B3,2484301-B2,25019457B2
109,2473623-B2,25025570B2,25017748B2
110,2473738-B3,25017589B6,2472505-B
111,2474124-B2,2484463-B2,2488039-B2
112,2474150-B3,25023687B2,25026798B2
113,2474188-B2,2468720-B2,25023590B3
114,2474291-B2,2466703-B4,2468442-B2
115,2474500-B2,25015064B,2485969-B2
116,2474631-B3,25009297B,25019107B
117,2474721-B,25025245B2,25023930B2
118,2474739-B2,2465827-B5,2487246-B2
119,2474901-B,2484228-B,2461698-B
120,2475011-B2,25021171B2,25024431B
121,2475022-B,2465843-B2,25014217B3
122,2475126-B2,25025509B2,2468417-B2
123,2475159-B,2471885-B2,2471595-B3
124,2476242-B2,2463351-B4,2485635-B2
125,2476295-B3,25017355B1,2481696-B4
126,2476358-B2,2460628-B2,2477189-B3
127,2476391-B2,25021277B4,25026144B3
128,2476750-B,25048256B2,25034245B2
129,2476983-B,25049966B2,25028014B7
130,2476984-B2,25033482B2,25063676B
131,2477039-B,25027181B4,25021555B2
132,2477058-B2,25045839B,25017923B
133,2477118-B3,25018956B3,25022458B2
134,2477118-B4,25017341B3,2487518-B
135,2477274-B3,25028010B2a,25028186B2
136,2477285-B2,2462939-B,25020714B4
137,2477299-B2,25023828B,25017499B
138,2477473-B2,25061727B2,25029737B2
139,2477541-B2,25052654B2,25022344B2
140,2477577-B3,25050888B3,25049669B3
141,2477670-B2,25021922B2,25055681B2
142,2477695-B2,25047088B,25023687B4
143,2477809-B3,25063700B,25020232B
144,2477814-B5,25030750B2,25041763B
145,2477949-B2,25027131B2,2460615-B4
146,2477977-B3,25034940B11,25063228B5
147,2481723-B2,25015215B2,25012737B4
148,2481750-B2,25028014B5,25028151B3
149,2482055-B2,25024765B2,25015867B2
150,2482056-B4,25024433B2,2488335-B
151,2482056-B9,25046521B3,2485473-B2
152,2482461-B2,25050415B2,25017730B2
153,2482886-B2,2491579B,2485276-B3
154,2482896-B2,25052316B,25027723B4
155,2482947-B2,25060539B2,25019474B2
156,2482956-B,25016827B2,2483073-B3
157,2482964-B2,25025293B2,25055784B2
158,2482969-B,25021890B4,25047067B2
159,2482992-B,25021421B2,25055857B2
160,2483215-B6,25016027B,25058627B2
161,2483220-B1,25030334B2,25025291B
162,2483363-B3,25045625B3,25050888B2
163,2483846-B,25032245B2,2488987-B2
164,2483868-B4,25015640B5,25021672B
165,2483973-B1,25036333B3,25030988B4
166,2483993-B2,25015191B2,2484862-B3
167,2484004-B2,2485164-B2,25036340B1
168,2484312-B2,25032143B3,2476286-B2
169,2484734-B4,25028010B2,25027718B2
170,2484743-B4,25033894B2,25047972B2
171,2484771-B3,25014627B3,25034940B12
172,2484883-B2,25021665B3,25032626B2
173,2485059-B2,25027181B3,25019273B
174,2485275-B2,25045450B5,25015798B2
175,2485322-B2,25047401B2,25015608B2
176,2485803-B2,25051008B4,25059686B2
177,2485805-B,25029906B2,25019629B2
178,2486100-B,25029179B,25027181B6
179,2486104-B1,25034929B2,25035354B2
180,2486191-B,25028879B3,25048633B2
181,2486197-B2,25023972B3,25016031B2
182,2486653-B3,25024695B2,25045403B2
183,2486687-B3,25031271B2,25002379B2
184,2486845-B2,25033211B,25021665B2
185,2486859-B2,2484791-B2,25058118B3
186,2487140-B2,25047066B,25047538B2
187,2487143-B,25050862B2,25015594B2
188,2487146-B2,25045625B2,25050345B2
189,2487237-B2,25019335B6,25032360B2
190,2487274-B2,25058118B4,25057865B1
191,2487376-B2,25023327B3,2483850-B2
192,2487388-B2,25028014B6,25028868B2
193,2487558-B2,,
194,2487656-B4,,
195,2487664-B2,,
196,2487896-B2,,
197,2487935-B2,,
198,2488044-B2,,
199,2488044-B3,,
200,2488050-B3,,
201,2488320-B3,,
202,2488330-B2,,
203,2488369-B2,,
204,2488475-B2,,
205,2488477-B2,,
206,2488767-B,,
207,2488769-B2,,
208,2488806-B2,,
209,2488916-B2,,
210,2488932-B4,,
211,2489131-B3,,
212,2489137-B4,,
213,2490526B3,,
214,2490547B2,,
215,2490750B4,,
216,2490820B2,,
217,2490820B3,,
218,2490837B2,,
219,2490860B2,,
220,2490964B2,,
221,2490978B2,,
222,2491131B2,,
223,2491191B2,,
224,2491191B3,,
225,2491226B2,,
226,2491275B2,,
227,25001929B3,,
228,25001966B2,,
229,25002073B3,,
230,25002238B,,
231,25002391B2,,
232,25002496B2,,
233,25002744B2,,
234,25002789B2,,
235,25002804B2,,
236,25002897B2,,
237,25002906B2,,
238,25002907B3,,
239,25009148B3,,
240,25009148B4,,
241,25009529B2,,
242,25009578B4,,
243,25009747B,,
244,25009756B2,,
245,25012148B3,,
246,25012153B2,,
247,25012253B3,,
248,25012485B2,,
249,25012628B2,,
250,25012760B2,,
251,25012785B2,,
252,25012915B2,,
253,25012919B9,,
254,25013162B2,,
255,25013189B2,,
256,25013352B2,,
257,25013465B2,,
258,25013871B6,,
259,25013878B2,,
260,25014160B2,,
261,25014217B2,,
262,25014226B2,,
263,25014265B2,,
264,25014311B2,,
265,25015070B2,,
266,25015101B2,,
267,25015234B2,,
268,25015408B3,,
269,25015422B,,
270,25015488B2,,
271,25015495B3,,
272,25015607B2,,
273,25015622B2,,
274,25015625B2,,
275,25015811B4,,
276,25015820B,,
277,25015863B2,,
278,25015870B3,,
279,25016077B2,,
280,25016772B2,,
281,25016801B2,,
282,25016829B2,,
283,25016903B4,,
284,25016905B4,,
285,25017211B2,,
286,25017218B3,,
287,25017220B2,,
288,25017227B2,,
289,25017242B2,,
290,25017320B2,,
291,25017372B2,,
292,25017383B2,,
293,25017538B4,,
294,25017539B2,,
295,25017539B3,,
296,25017711B,,
297,25017767B2,,
298,25017932B2,,
299,25017948B3,,
300,25018002B2,,
301,25018050B2,,
302,25018584B,,
303,25019081B3,,
304,25019283B2,,
305,25019284B2,,
306,25019352B2,,
307,25019376B2,,
308,25019379B,,
309,25019384B2,,
310,25019468B2,,
311,25019508B4,,
312,25019621B2,,
313,25019621B4,,
314,25019773B3,,
315,25019776B2,,
316,25019790B2,,
317,25020257B2,,
318,25020263B2,,
319,25020282B2,,
320,25020291B2,,
321,25020573B3,,
322,25020714B2,,
323,25020717B2,,
324,25020760B3,,
325,25021164B2,,
326,25021197B2,,
327,25021260B2,,
328,25021291B2,,
329,25021419B1,,
330,25021481B2,,
331,25021575B4,,
332,25021640B3,,
333,25021662B2,,
334,25021667B2,,
335,25021668B2,,
336,25021893B2,,
337,25021894B2,,
338,25021894B3,,
339,25021973B2,,
340,25022019B2,,
341,25022038B2,,
342,25022262B2,,
343,25022278B2,,
344,25022330B2,,
345,25022343B3,,
346,25022354B2,,
347,25023016B6,,
348,25023184B2,,
349,25023573B,,
350,25023590B4,,
351,25023814B,,
352,25023869B3,,
353,25023936B2,,
354,25023977B2,,
355,25024142B2,,
356,25024310B3,,
357,25024688B2,,
358,25024698B4,,
359,25024709B2,,
360,25024982B2,,
361,25025083B2,,
362,25025096B2,,
363,25025109B2,,
364,25025251B,,
365,25025262B2,,
366,25025298B2,,
367,25025510B1,,
368,25025510B3,,
369,25025567B3,,
370,25025575B2,,
371,25025602B2,,
372,25025953B2,,
373,25025960B2,,
374,25026081B2,,
375,25026163B,,
376,25026254B2,,
377,25026669B2,,
378,25026740B2,,
379,25027122B2,,
380,25027135B3,,
381,25027167B2,,
382,25027290B2,,
383,2460943-B3,,
384,2462468-B2,,
385,2462609-B2,,
386,2463367-B2,,
387,2476299-B2,,
388,2476693-B3,,
389,2477926-B4,,
390,2482111-B2,,
391,2482883-B2,,
392,2484660-B2,,
393,2485536-B2,,
394,2485632-B,,
395,2486102-B2,,
396,2487043-B,,
397,2487053-B2,,
398,2487063-B2,,
399,2487567-B2,,
400,2488040-B,,
401,2488302-B2,,
402,2488960-B2,,
403,2490980B,,
404,2491552B,,
405,25002510B2,,
406,25009557B,,
407,25013062B2,,
408,25013189B4,,
409,25013629B6,,
410,25013977B2,,
411,25014298B2,,
412,25015052B3,,
413,25015191B3,,
414,25015421B3,,
415,25015471B,,
416,25015496B,,
417,25015640B3,,
418,25015784B2,,
419,25017342B2,,
420,25017355B4,,
421,25017500B,,
422,25017592B3,,
423,25017739B2,,
424,25017930B,,
425,25018478B2,,
426,25019094B8,,
427,25019294B1,,
428,25019294B2,,
429,25019339B2,,
430,25019339B3,,
431,25019503B,,
432,25019675B2,,
433,25019705B2,,
434,25020353B2,,
435,25020556B4,,
436,25020799B3,,
437,25020799B5,,
438,25021196B2,,
439,25021277B3,,
440,25021487B,,
441,25021558B2,,
442,25021735B5,,
443,25021890B6,,
444,25022013B,,
445,25022584B2,,
446,25022584B3,,
447,25022613B2,,
448,25023174B2,,
449,25023687B3,,
450,25023846B4,,
451,25023935B2,,
452,25023961B2,,
453,25024254B2,,
454,25024855B4,,
455,25024875B2,,
456,25024982B1,,
457,25025076B,,
458,25025087B,,
459,25025097B,,
460,25025567B4,,
461,25025569B,,
462,25025616B,,
463,25025951B,,
464,25025954B3,,
465,25025975B2,,
466,25026103B2,,
467,25026144B2,,
468,25026285B2,,
469,25026294B3,,
470,25026499B3,,
471,25026509B,,
472,25026752B,,
473,25026782B3,,
474,25026797B2,,
475,25027181B2,,
476,25027181B5,,
477,25027193B,,
478,25027606B3,,
479,25027636B2,,
480,25027770B,,
481,25028010B3,,
482,25028014B4,,
483,25028134B,,
484,25028147B3,,
485,25028151B2,,
486,25028210B2,,
487,25028514B,,
488,25028520B3,,
489,25028738B2,,
490,25028862B2,,
491,25028885B2,,
492,25029134B,,
493,25029425B,,
494,25029425B2,,
495,25029425B3,,
496,25029560B2,,
497,25029565B5,,
498,25030118B2,,
499,25030157B3,,
500,25030157B4,,
501,25030619B2,,
502,25030630B,,
503,25030998B2,,
504,25031267B2,,
505,25031281B2,,
506,25031302B,,
507,25031385B4,,
508,25031387B2,,
509,25031411B3,,
510,25031706B,,
511,25031706B2,,
512,25032143B2,,
513,25032146B2,,
514,25032179B3,,
515,25032788B4,,
516,25032789B2,,
517,25033169B1,,
518,25033178B4,,
519,25033447B4,,
520,25033486B,,
521,25034327B2,,
522,25034940B10,,
523,25034940B8,,
524,25034940B9,,
525,25035354B,,
526,25035354B3,,
527,25035882B3,,
528,25035882B4,,
529,25036226B4,,
530,25036341B,,
531,25036634B2,,
532,25041732B,,
533,25042220B2,,
534,25042465B3,,
535,25042830B2,,
536,25043126B2,,
537,25043600B3,,
538,25044694B,,
539,25045403B,,
540,25045403B-1,,
541,25045450B2,,
542,25045625B1,,
543,25045676B4,,
544,25045801B1,,
545,25045801B2,,
546,25045807B4,,
547,25045829B2,,
548,25046631B2,,
549,25046855B,,
550,25047077B2,,
551,25047815B,,
552,25047835B3,,
553,25047844B2,,
554,25048669B2,,
555,25049999B2,,
556,25050326B,,
557,25050830B2,,
558,25050984B2,,
559,25051207B5,,
560,25052288B,,
561,25053425B2,,
562,25053683B2,,
563,25054130B1,,
564,25054130B2,,
565,25054212B,,
566,25054489B3,,
567,25054693B2,,
568,25055380B2,,
569,25055778B2,,
570,25057854B3,,
571,25057856B2,,
572,25057858B2,,
573,25058713B2,,
574,25058746B4,,
575,25059470B2,,
576,25062444B,,
577,25062891B4,,
578,25063371B2,,
579,25063642B,,
580,25063642B2,,
581,25063676B2,,
